== Original Bounds  ==
Notation : a0_top(LE)  a1_top      a2_top      a3_top      a4_top      a5_top(TE)  a0_bot(LE)  a1_bot      a2_bot       a3_bot      a4_bot     a5_bot(TE)
--       : --          --          --          --          --          --          --          --          --           --          --         --        
ub0      : 0.48311     0.50933     0.64586     0.58932     0.42802     0.49287     0.57346     0.64017     0.79771      0.6797      0.2789     0.34207
lb0      : 0.11816     0.14188    0.076394    0.012381   0.0034565   -0.079468    0.082364   -0.070488    -0.18461    -0.20916    -0.25634    -0.34901
 
== Extended Bounds  ==
Notation : a0_top(LE)  a1_top      a2_top      a3_top      a4_top      a5_top(TE)  a0_bot(LE)  a1_bot      a2_bot       a3_bot      a4_bot     a5_bot(TE)
--       : --          --          --          --          --          --          --          --          --           --          --         --        
ub_ext   : 0.52542     0.54381     0.71013      0.6479     0.46814     0.54381     0.64468     0.72035     0.90585     0.78138     0.31948     0.41648
lb_ext   : 0.087476     0.10287    0.026777   -0.044432   -0.041345    -0.14299    0.055364    -0.13243    -0.27294    -0.28525    -0.32281    -0.41281
 
== Airfoils in Pool ==
Notation                       : a0_top(LE)  a1_top      a2_top      a3_top      a4_top      a5_top(TE)  a0_bot(LE)  a1_bot      a2_bot       a3_bot      a4_bot     a5_bot(TE)
--                             : --          --          --          --          --          --          --          --          --           --          --         --        
15nov-mod.txt                  : 0.37371     0.38091     0.45361     0.37926     0.15729     0.27077     0.24368     0.37511     0.28762     0.37286    -0.21575   -0.070863
AH93w257.txt                   : 0.25009     0.35625     0.37913     0.35688     0.15886     0.28834     0.31446     0.35005     0.30473     0.39851   -0.081951    -0.11804
DU93_W210_coord.txt            : 0.24474      0.2901     0.39438     0.30741     0.26765     0.29316     0.19419     0.26044       0.191     0.31266   -0.089436    -0.13997
DU97W30.txt                    : 0.27053     0.41736     0.31172     0.32267     0.27608     0.27598     0.28774     0.52046     0.53452     0.12432      0.2306    -0.28961
FFA_W3_211_coord.txt           : 0.23461     0.36555     0.30538     0.27634     0.20394     0.16687     0.18445      0.2467     0.30358     0.22212   -0.086249    -0.11742
NASA-LS1-0421MODp160.txt       : 0.34337     0.32278     0.31853     0.34146     0.25947     0.26608     0.24818     0.14506     0.28716     0.16582     0.27658    -0.23161
NASA-LS1-0421p160.txt          : 0.30989     0.27636     0.30772     0.40163     0.36371     0.27041      0.2506     0.14777     0.27773     0.21135     0.23648    -0.16095
S809.txt                       : 0.17133     0.25201     0.27111     0.36228    0.095422     0.25719     0.14023     0.22708     0.44595     0.21937     0.10564   -0.015308
du91.txt                       : 0.24225     0.33259     0.39314     0.28468     0.28747     0.27684     0.27629     0.36615     0.27422     0.43892    -0.12333    -0.19792
fx77.txt                       : 0.38583     0.45238     0.64586    0.098767     0.42802     0.24816     0.24729     0.17136     0.25556     0.40682    0.040675     0.21043
hs0002.txt                     : 0.12429     0.14188    0.080131    0.028123   0.0034565   -0.079468     0.13274     0.12826     0.14037      0.2046     0.13649     0.26067
hs0016.txt                     : 0.16306      0.2691     0.15657     0.28945     0.16569     0.23045    0.082364   -0.070488     0.13147   -0.096856    0.081143   -0.018987
hs37.txt                       : 0.17843     0.29469     0.12766     0.25382     0.11188      0.1176    0.097196     0.06359    0.074781    0.083701    0.061342     0.14802
mh20.txt                       : 0.11816     0.23517    0.089482     0.26285    0.075933    0.041901     0.08436    0.081517    0.024235     0.10571    0.016489     0.12605
mh200.txt                      : 0.16296     0.26579     0.11882     0.37914     0.16686     0.24633    0.091854     0.15741    0.048904     0.18662     0.10973   -0.075344
mh201.txt                      : 0.19066     0.27555     0.14817     0.36661     0.17364     0.32708     0.10284     0.12723    0.065405     0.14738     0.10418     -0.1575
mh70.txt                       : 0.21116     0.26544      0.1668     0.27984     0.15202       0.129    0.092196    0.076441     0.05075    0.033426    0.047012  -0.0034734
mh80.txt                       : 0.23733     0.37559    0.076394     0.26098    0.056367    0.037039     0.12255    0.056553      0.1364    0.013563     0.16617    0.055396
mh83.txt                       : 0.27316     0.45061     0.14578      0.3332     0.13516     0.10269     0.11956   0.0045881     0.05074   -0.041424   -0.025437   -0.070946
mrc-16.txt                     : 0.19431     0.31338     0.20832     0.32377     0.24041     0.25742     0.12432    0.076638     0.12294    0.071388     0.10935    0.072949
mrc-20.txt                     : 0.21944     0.29334     0.27916     0.27464     0.36423     0.32437     0.10735    0.022548     0.27782    0.012868     0.15002     0.07297
n6409.txt                      : 0.18374     0.27172     0.30306     0.24263     0.31748     0.30514    0.087868   -0.049944   -0.052891   -0.047344   -0.091978    -0.08753
naca0018.txt                   : 0.24565     0.24114     0.21883     0.21797     0.20146     0.21288     0.27052      0.2119     0.27334     0.17091     0.23805     0.20184
risoea30.txt                   : 0.2633     0.38797      0.4807    0.012381     0.36603     0.23339     0.26769     0.64017     0.27389     0.61013     -0.2065     -0.1559
s822_repanelled.txt            : 0.16381      0.2759     0.16416     0.38088     0.26942     0.24522     0.15317     0.21224     0.12608     0.19424      0.1781  -0.0081479
DU06W200.dat                   : 0.23831     0.35457     0.18872     0.30294     0.11483     0.15951     0.20797     0.33262    0.070997     0.50858   -0.016278    0.044202
NACA0015.dat                   : 0.21481     0.18959      0.2035     0.16384     0.18183     0.17343     0.21481     0.18959      0.2035     0.16384     0.18183     0.17343
NPH-252.dat                    : 0.28458      0.4258     0.26826     0.33919     0.13738     0.16334     0.27219     0.43316     0.31673    0.062492     0.20944     0.10578
NPH-269-2.dat                  : 0.30349     0.41407     0.33408     0.42244     0.15702     0.20822     0.32808     0.40213     0.35173     0.12138      0.1651     0.20667
NPH-270.dat                    : 0.31703     0.39463     0.38148      0.3023     0.17084     0.19929     0.33009     0.40465     0.34781     0.20207     0.22608     0.16717
NPH-307.dat                    : 0.33816     0.48144     0.50628    0.084744      0.2642     0.13703     0.30968     0.37062     0.51289     0.32705    0.080695     0.24621
VAWT_CM_v2_.n_1.Thick0.266.dat : 0.27712      0.3837     0.37469     0.11909     0.24279     0.17569     0.24484     0.38272     0.30963     0.57985     0.14071     0.34207
VAWT_CM_v5_.n_1.Thick0.268.dat : 0.267     0.29016     0.37912     0.45334     0.13251     0.16442     0.24583      0.3845     0.22779      0.6797    0.068523     0.17626
