COORDINATES OF NACA AIRFOILS
Created by naca456, version 1.0 (4 January 2002) on 17:25  4Jan2002
Ralph L. Carmichael, Public Domain Aeronautical Software
NACA 0010-64                                                                    
Four-digit-modified profile, t/c= 0.1000
   l.e. index= 6.0000   x of max. thickness= 0.4000
No camber, symmetrical section
SYMMETRICAL AIRFOIL DEFINITION
        x         y        dy/dx
    1  0.000000  0.000000**********
    2  0.005000  0.009880  0.926645
    3  0.007500  0.011932  0.734458
    4  0.012500  0.015062  0.542129
    5  0.025000  0.020428  0.349743
    6  0.050000  0.027205  0.215990
    7  0.075000  0.031808  0.158309
    8  0.100000  0.035315  0.124717
    9  0.150000  0.040471  0.085546
   10  0.200000  0.044115  0.061720
   11  0.250000  0.046742  0.043998
   12  0.300000  0.048556  0.028812
   13  0.350000  0.049637  0.014457
   14  0.400000  0.050000  0.000000
   15  0.450000  0.049634  0.014576
   16  0.500000  0.048547  0.028876
   17  0.550000  0.046751  0.042901
   18  0.600000  0.044261  0.056650
   19  0.650000  0.041091  0.070123
   20  0.700000  0.037254  0.083321
   21  0.750000  0.032764  0.096243
   22  0.800000  0.027634  0.108889
   23  0.850000  0.021879  0.121259
   24  0.900000  0.015513  0.133354
   25  0.950000  0.008548  0.145173
   26  1.000000  0.001000  0.156717
End of output for symmetrical airfoil
