COORDINATES OF NACA AIRFOILS
Created by naca456, version 1.0 (4 January 2002) on 17:34  4Jan2002
Ralph L. Carmichael, Public Domain Aeronautical Software
NACA 16-009 (same as 0009-45)                                                   
Four-digit-modified profile, t/c= 0.0900
   l.e. index= 6.0000   x of max. thickness= 0.3000
No camber, symmetrical section
SYMMETRICAL AIRFOIL DEFINITION
        x         y        dy/dx
    1  0.000000  0.000000**********
    2  0.000050  0.000943  9.404429
    3  0.000100  0.001332  6.637318
    4  0.000200  0.001881  4.680642
    5  0.000300  0.002301  3.813774
    6  0.000400  0.002655  3.296999
    7  0.000500  0.002966  2.944319
    8  0.000600  0.003247  2.683968
    9  0.000800  0.003744  2.318489
   10  0.001000  0.004182  2.069043
   11  0.001200  0.004576  1.884884
   12  0.001400  0.004938  1.741734
   13  0.001600  0.005275  1.626325
   14  0.001800  0.005590  1.530713
   15  0.002000  0.005888  1.449813
   16  0.002500  0.006571  1.291867
   17  0.003000  0.007187  1.175213
   18  0.003500  0.007751  1.084495
   19  0.004000  0.008274  1.011322
   20  0.004500  0.008764  0.950671
   21  0.005000  0.009226  0.899325
   22  0.006000  0.010082  0.816526
   23  0.007000  0.010866  0.752069
   24  0.008000  0.011591  0.700019
   25  0.009000  0.012269  0.656824
   26  0.010000  0.012907  0.620211
   27  0.011000  0.013511  0.588646
   28  0.012000  0.014085  0.561054
   29  0.013000  0.014634  0.536656
   30  0.014000  0.015159  0.514872
   31  0.015000  0.015664  0.495257
   32  0.016000  0.016150  0.477468
   33  0.018000  0.017073  0.446331
   34  0.020000  0.017939  0.419852
   35  0.025000  0.019901  0.367692
   36  0.030000  0.021637  0.328627
   37  0.035000  0.023201  0.297802
   38  0.040000  0.024625  0.272564
   39  0.045000  0.025933  0.251323
   40  0.050000  0.027143  0.233063
   41  0.055000  0.028267  0.217098
   42  0.060000  0.029317  0.202948
   43  0.070000  0.031221  0.178785
   44  0.080000  0.032906  0.158699
   45  0.090000  0.034405  0.141565
   46  0.100000  0.035745  0.126664
   47  0.120000  0.038020  0.101769
   48  0.140000  0.039847  0.081587
   49  0.160000  0.041306  0.064790
   50  0.180000  0.042456  0.050583
   51  0.200000  0.043343  0.038460
   52  0.220000  0.044006  0.028076
   53  0.240000  0.044476  0.019191
   54  0.260000  0.044782  0.011632
   55  0.280000  0.044949  0.005268
   56  0.300000  0.045000  0.000000
   57  0.320000  0.044953  0.004698
   58  0.340000  0.044813  0.009297
   59  0.360000  0.044582  0.013799
   60  0.380000  0.044261  0.018202
   61  0.400000  0.043854  0.022506
   62  0.420000  0.043362  0.026713
   63  0.440000  0.042786  0.030821
   64  0.460000  0.042130  0.034830
   65  0.480000  0.041394  0.038742
   66  0.500000  0.040581  0.042555
   67  0.520000  0.039692  0.046269
   68  0.540000  0.038731  0.049886
   69  0.560000  0.037698  0.053404
   70  0.580000  0.036595  0.056823
   71  0.600000  0.035425  0.060145
   72  0.620000  0.034190  0.063368
   73  0.640000  0.032891  0.066493
   74  0.660000  0.031531  0.069519
   75  0.680000  0.030111  0.072447
   76  0.700000  0.028634  0.075277
   77  0.720000  0.027101  0.078009
   78  0.740000  0.025514  0.080642
   79  0.760000  0.023876  0.083177
   80  0.780000  0.022188  0.085613
   81  0.800000  0.020452  0.087952
   82  0.820000  0.018670  0.090192
   83  0.840000  0.016845  0.092333
   84  0.860000  0.014977  0.094377
   85  0.880000  0.013070  0.096322
   86  0.900000  0.011125  0.098168
   87  0.920000  0.009144  0.099917
   88  0.940000  0.007129  0.101567
   89  0.950000  0.006110  0.102355
   90  0.960000  0.005082  0.103118
   91  0.970000  0.004047  0.103857
   92  0.975000  0.003527  0.104217
   93  0.980000  0.003005  0.104572
   94  0.985000  0.002481  0.104920
   95  0.990000  0.001956  0.105261
   96  0.995000  0.001429  0.105597
   97  0.999000  0.001006  0.105861
   98  1.000000  0.000900  0.105927
End of output for symmetrical airfoil
